Name;URL;Author;Price;Number of ratings;Average Rating
What to Expect When You're Expecting;https://www.amazon.in/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1;Heidi Murkoff;$14.36;4,049;4.4 out of 5 stars
Jesus Calling: Enjoying Peace in His Presence;https://www.amazon.in/Jesus-Calling-Enjoying-Peace-Presence/dp/1591451884?_encoding=UTF8&psc=1;Sarah Young;$9.72;16,574;4.9 out of 5 stars
Emotional Intelligence 2.0;https://www.amazon.in/Emotional-Intelligence-2-0-Travis-Bradberry/dp/0974320625?_encoding=UTF8&psc=1;Travis Bradberry;$14.99;1,098;4.1 out of 5 stars
The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat);https://www.amazon.in/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1;The College Board;$19.79;221;4.5 out of 5 stars
Where Do Diggers Sleep at Night?;https://www.amazon.in/Where-Do-Diggers-Sleep-Night/dp/0385374151?_encoding=UTF8&psc=1;Brianna Caplan Sayres;$5.26;1,266;4.8 out of 5 stars
Emoji Easter Coloring Book: of Easter Egg Coloring, Cute Animals, Easter Emojis & Funny Bunny Jokes! Easter Bunny Coloring Activity Book, Easter Basket Stuffer for Boys, Girls, Teens & Adults!;https://www.amazon.in/Emoji-Easter-Coloring-Book-Activity/dp/198573060X?_encoding=UTF8&psc=1;Nyx Spectrum;$6.59;Not Available;Not Available
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are;https://www.amazon.in/Gifts-Imperfection-Think-Supposed-Embrace/dp/159285849X?_encoding=UTF8&psc=1;BrenÃ© Brown;$8.99;3,711;4.6 out of 5 stars
There Was an Old Lady Who Swallowed a Chick!;https://www.amazon.in/There-Was-Lady-Swallowed-Chick/dp/0545161819?_encoding=UTF8&psc=1;Lucille Colandro;$4.99;181;4.5 out of 5 stars
Astrophysics for People in a Hurry;https://www.amazon.in/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?_encoding=UTF8&psc=1;Neil deGrasse Tyson;$11.37;2,604;4.6 out of 5 stars
The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence;https://www.amazon.in/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1;Leanne Vogel;$25.63;1,454;4.6 out of 5 stars
Man's Search for Meaning;https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/080701429X?_encoding=UTF8&psc=1;Viktor E. Frankl;$6.99;4,099;4.7 out of 5 stars
Happy Easter, Little Critter (Little Critter) (Look-Look);https://www.amazon.in/Happy-Easter-Little-Critter-Look-Look/dp/0307117235?_encoding=UTF8&psc=1;Mercer Mayer;$3.78;106;4.5 out of 5 stars
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering;https://www.amazon.in/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1;Paper Peony Press;$6.99;168;4.5 out of 5 stars
Fun with Hand Shadows (Dover Children's Activity Books);https://www.amazon.in/Shadows-Dover-Childrens-Activity-Books/dp/0486291766?_encoding=UTF8&psc=1;Frank Jacobs;$1.78;186;4.4 out of 5 stars
Unfu*k Yourself: Get Out of Your Head and into Your Life;https://www.amazon.in/Unfu-Yourself-Your-Head-into/dp/0062803832?_encoding=UTF8&psc=1;Gary John Bishop;$11.54;532;4.5 out of 5 stars
The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition;https://www.amazon.in/Care-Keeping-You-Younger-Revised/dp/1609580834?_encoding=UTF8&psc=1;Valorie Schaefer;$8.89;2,461;4.8 out of 5 stars
The Hate U Give;https://www.amazon.in/Hate-U-Give-Angie-Thomas/dp/0062498533?_encoding=UTF8&psc=1;Angie Thomas;$10.79;1,716;4.8 out of 5 stars
Fancy Nancy and the Missing Easter Bunny;https://www.amazon.in/Fancy-Nancy-Missing-Easter-Bunny/dp/0062377922?_encoding=UTF8&psc=1;Jane O'Connor;$3.91;17;4.3 out of 5 stars
Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life;https://www.amazon.in/Genius-Foods-Smarter-Productive-Protecting/dp/0062562851?_encoding=UTF8&psc=1;Max Lugavere;$19.31;62;4.9 out of 5 stars
Laugh-Out-Loud Jokes for Kids;https://www.amazon.in/Laugh-Out-Loud-Jokes-Kids-Rob-Elliott/dp/0800788036?_encoding=UTF8&psc=1;Rob Elliott;$3.19;4,284;4.5 out of 5 stars
The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma;https://www.amazon.in/Body-Keeps-Score-Healing-Trauma/dp/0143127748?_encoding=UTF8&psc=1;Bessel van der Kolk;$12.23;1,495;4.8 out of 5 stars
Box of Butterflies: Discovering the Unexpected Blessings All Around Us;https://www.amazon.in/Box-Butterflies-Discovering-Unexpected-Blessings/dp/1501150936?_encoding=UTF8&psc=1;Roma Downey;$14.99;195;4.9 out of 5 stars
Educated: A Memoir;https://www.amazon.in/Educated-Memoir-Tara-Westover/dp/0399590501?_encoding=UTF8&psc=1;Tara Westover;$16.80;490;4.7 out of 5 stars
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3);https://www.amazon.in/Dog-Man-Kitties-Creator-Underpants/dp/0545935210?_encoding=UTF8&psc=1;Dav Pilkey;$6.08;413;4.8 out of 5 stars
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;https://www.amazon.in/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1;Michelle McNamara;$16.79;185;4.6 out of 5 stars
Oh, the Places You'll Go!;https://www.amazon.in/Oh-Places-Youll-Dr-Seuss/dp/0679805273?_encoding=UTF8&psc=1;Dr. Seuss;$15.51;4,029;4.9 out of 5 stars
Ready Player One;https://www.amazon.in/Ready-Player-One-Ernest-Cline/dp/030788743X?_encoding=UTF8&psc=1;Ernest Cline;$10.42;16,519;4.6 out of 5 stars
Love You Forever;https://www.amazon.in/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1;Robert Munsch;$5.08;6,342;4.8 out of 5 stars
